network,method,k,p,simulation_id,final_active_count,total_steps
Facebook Penn94,highest_degree,2,0.1,0,36099,8
Facebook Penn94,highest_degree,2,0.1,1,36144,7
Facebook Penn94,highest_degree,2,0.1,2,36098,8
Facebook Penn94,highest_degree,2,0.1,3,36105,8
Facebook Penn94,highest_degree,2,0.1,4,36042,9
Facebook Penn94,highest_degree,2,0.1,5,36095,9
Facebook Penn94,highest_degree,2,0.1,6,36113,8
Facebook Penn94,highest_degree,2,0.1,7,36059,8
Facebook Penn94,highest_degree,2,0.1,8,36072,9
Facebook Penn94,highest_degree,2,0.1,9,36008,8
Facebook Penn94,highest_degree,2,0.1,10,36113,10
Facebook Penn94,highest_degree,2,0.1,11,36113,8
Facebook Penn94,highest_degree,2,0.1,12,36094,8
Facebook Penn94,highest_degree,2,0.1,13,36011,10
Facebook Penn94,highest_degree,2,0.1,14,36166,8
Facebook Penn94,highest_degree,2,0.1,15,36011,8
Facebook Penn94,highest_degree,2,0.1,16,36044,9
Facebook Penn94,highest_degree,2,0.1,17,36154,8
Facebook Penn94,highest_degree,2,0.1,18,36088,9
Facebook Penn94,highest_degree,2,0.1,19,36051,8
Facebook Penn94,highest_degree,2,0.1,20,36147,8
Facebook Penn94,highest_degree,2,0.1,21,36054,8
Facebook Penn94,highest_degree,2,0.1,22,36092,8
Facebook Penn94,highest_degree,2,0.1,23,36045,7
Facebook Penn94,highest_degree,2,0.1,24,36042,8
Facebook Penn94,highest_degree,2,0.1,25,36062,8
Facebook Penn94,highest_degree,2,0.1,26,36029,9
Facebook Penn94,highest_degree,2,0.1,27,36021,9
Facebook Penn94,highest_degree,2,0.1,28,36042,9
Facebook Penn94,highest_degree,2,0.1,29,36064,8
Facebook Penn94,highest_degree,2,0.1,30,36095,8
Facebook Penn94,highest_degree,2,0.1,31,36038,8
Facebook Penn94,highest_degree,2,0.1,32,36020,8
Facebook Penn94,highest_degree,2,0.1,33,36088,8
Facebook Penn94,highest_degree,2,0.1,34,36112,10
Facebook Penn94,highest_degree,2,0.1,35,35954,9
Facebook Penn94,highest_degree,2,0.1,36,36101,8
Facebook Penn94,highest_degree,2,0.1,37,36114,8
Facebook Penn94,highest_degree,2,0.1,38,36115,11
Facebook Penn94,highest_degree,2,0.1,39,36226,8
Facebook Penn94,highest_degree,2,0.1,40,36057,9
Facebook Penn94,highest_degree,2,0.1,41,36087,9
Facebook Penn94,highest_degree,2,0.1,42,36077,9
Facebook Penn94,highest_degree,2,0.1,43,35983,8
Facebook Penn94,highest_degree,2,0.1,44,36101,8
Facebook Penn94,highest_degree,2,0.1,45,36082,9
Facebook Penn94,highest_degree,2,0.1,46,36042,8
Facebook Penn94,highest_degree,2,0.1,47,36076,7
Facebook Penn94,highest_degree,2,0.1,48,36104,8
Facebook Penn94,highest_degree,2,0.1,49,36100,9
Facebook Penn94,highest_degree,2,0.1,50,36053,9
Facebook Penn94,highest_degree,2,0.1,51,36087,8
Facebook Penn94,highest_degree,2,0.1,52,36132,7
Facebook Penn94,highest_degree,2,0.1,53,36136,10
Facebook Penn94,highest_degree,2,0.1,54,36009,10
Facebook Penn94,highest_degree,2,0.1,55,36073,8
Facebook Penn94,highest_degree,2,0.1,56,36133,7
Facebook Penn94,highest_degree,2,0.1,57,36128,8
Facebook Penn94,highest_degree,2,0.1,58,36102,8
Facebook Penn94,highest_degree,2,0.1,59,36033,7
Facebook Penn94,highest_degree,2,0.1,60,36053,8
Facebook Penn94,highest_degree,2,0.1,61,36036,7
Facebook Penn94,highest_degree,2,0.1,62,36009,8
Facebook Penn94,highest_degree,2,0.1,63,36062,9
Facebook Penn94,highest_degree,2,0.1,64,36094,9
Facebook Penn94,highest_degree,2,0.1,65,36110,9
Facebook Penn94,highest_degree,2,0.1,66,36060,8
Facebook Penn94,highest_degree,2,0.1,67,36100,8
Facebook Penn94,highest_degree,2,0.1,68,36148,8
Facebook Penn94,highest_degree,2,0.1,69,36044,11
Facebook Penn94,highest_degree,2,0.1,70,36008,9
Facebook Penn94,highest_degree,2,0.1,71,36058,9
Facebook Penn94,highest_degree,2,0.1,72,36037,8
Facebook Penn94,highest_degree,2,0.1,73,36097,8
Facebook Penn94,highest_degree,2,0.1,74,36055,11
Facebook Penn94,highest_degree,2,0.1,75,36111,8
Facebook Penn94,highest_degree,2,0.1,76,36227,9
Facebook Penn94,highest_degree,2,0.1,77,36027,8
Facebook Penn94,highest_degree,2,0.1,78,36146,11
Facebook Penn94,highest_degree,2,0.1,79,36017,8
Facebook Penn94,highest_degree,2,0.1,80,36057,8
Facebook Penn94,highest_degree,2,0.1,81,36112,7
Facebook Penn94,highest_degree,2,0.1,82,35993,8
Facebook Penn94,highest_degree,2,0.1,83,36108,9
Facebook Penn94,highest_degree,2,0.1,84,36108,7
Facebook Penn94,highest_degree,2,0.1,85,36082,8
Facebook Penn94,highest_degree,2,0.1,86,36112,8
Facebook Penn94,highest_degree,2,0.1,87,36111,8
Facebook Penn94,highest_degree,2,0.1,88,36067,8
Facebook Penn94,highest_degree,2,0.1,89,36176,8
Facebook Penn94,highest_degree,2,0.1,90,36155,8
Facebook Penn94,highest_degree,2,0.1,91,36021,7
Facebook Penn94,highest_degree,2,0.1,92,36115,9
Facebook Penn94,highest_degree,2,0.1,93,36097,9
Facebook Penn94,highest_degree,2,0.1,94,36075,9
Facebook Penn94,highest_degree,2,0.1,95,36151,9
Facebook Penn94,highest_degree,2,0.1,96,36095,9
Facebook Penn94,highest_degree,2,0.1,97,36070,9
Facebook Penn94,highest_degree,2,0.1,98,36043,9
Facebook Penn94,highest_degree,2,0.1,99,36144,8
Facebook Penn94,highest_degree,2,0.1,100,36134,9
Facebook Penn94,highest_degree,2,0.1,101,36150,7
Facebook Penn94,highest_degree,2,0.1,102,36128,9
Facebook Penn94,highest_degree,2,0.1,103,36069,10
Facebook Penn94,highest_degree,2,0.1,104,36083,8
Facebook Penn94,highest_degree,2,0.1,105,36069,7
Facebook Penn94,highest_degree,2,0.1,106,36094,11
Facebook Penn94,highest_degree,2,0.1,107,36090,8
Facebook Penn94,highest_degree,2,0.1,108,36023,9
Facebook Penn94,highest_degree,2,0.1,109,36128,9
Facebook Penn94,highest_degree,2,0.1,110,36079,8
Facebook Penn94,highest_degree,2,0.1,111,36090,9
Facebook Penn94,highest_degree,2,0.1,112,36038,8
Facebook Penn94,highest_degree,2,0.1,113,36044,9
Facebook Penn94,highest_degree,2,0.1,114,36088,8
Facebook Penn94,highest_degree,2,0.1,115,36127,8
Facebook Penn94,highest_degree,2,0.1,116,36035,8
Facebook Penn94,highest_degree,2,0.1,117,36099,8
Facebook Penn94,highest_degree,2,0.1,118,36144,9
Facebook Penn94,highest_degree,2,0.1,119,36044,8
Facebook Penn94,highest_degree,2,0.1,120,36048,9
Facebook Penn94,highest_degree,2,0.1,121,36147,9
Facebook Penn94,highest_degree,2,0.1,122,36102,8
Facebook Penn94,highest_degree,2,0.1,123,36031,9
Facebook Penn94,highest_degree,2,0.1,124,36109,9
Facebook Penn94,highest_degree,2,0.1,125,36166,12
Facebook Penn94,highest_degree,2,0.1,126,36118,8
Facebook Penn94,highest_degree,2,0.1,127,36078,10
Facebook Penn94,highest_degree,2,0.1,128,35969,8
Facebook Penn94,highest_degree,2,0.1,129,36074,8
Facebook Penn94,highest_degree,2,0.1,130,36037,10
Facebook Penn94,highest_degree,2,0.1,131,36068,9
Facebook Penn94,highest_degree,2,0.1,132,36066,9
Facebook Penn94,highest_degree,2,0.1,133,36195,9
Facebook Penn94,highest_degree,2,0.1,134,36041,8
Facebook Penn94,highest_degree,2,0.1,135,36160,8
Facebook Penn94,highest_degree,2,0.1,136,36057,8
Facebook Penn94,highest_degree,2,0.1,137,36064,8
Facebook Penn94,highest_degree,2,0.1,138,36061,10
Facebook Penn94,highest_degree,2,0.1,139,36160,9
Facebook Penn94,highest_degree,2,0.1,140,36026,8
Facebook Penn94,highest_degree,2,0.1,141,36049,8
Facebook Penn94,highest_degree,2,0.1,142,36127,9
Facebook Penn94,highest_degree,2,0.1,143,36018,8
Facebook Penn94,highest_degree,2,0.1,144,36122,8
Facebook Penn94,highest_degree,2,0.1,145,36101,8
Facebook Penn94,highest_degree,2,0.1,146,36156,8
Facebook Penn94,highest_degree,2,0.1,147,36130,8
Facebook Penn94,highest_degree,2,0.1,148,36003,8
Facebook Penn94,highest_degree,2,0.1,149,36040,8
Facebook Penn94,highest_degree,2,0.1,150,36126,10
Facebook Penn94,highest_degree,2,0.1,151,36065,8
Facebook Penn94,highest_degree,2,0.1,152,36107,7
Facebook Penn94,highest_degree,2,0.1,153,36085,10
Facebook Penn94,highest_degree,2,0.1,154,36056,8
Facebook Penn94,highest_degree,2,0.1,155,36130,8
Facebook Penn94,highest_degree,2,0.1,156,36052,9
Facebook Penn94,highest_degree,2,0.1,157,36071,8
Facebook Penn94,highest_degree,2,0.1,158,36051,7
Facebook Penn94,highest_degree,2,0.1,159,36021,9
Facebook Penn94,highest_degree,2,0.1,160,36148,10
Facebook Penn94,highest_degree,2,0.1,161,36031,9
Facebook Penn94,highest_degree,2,0.1,162,36128,7
Facebook Penn94,highest_degree,2,0.1,163,36013,8
Facebook Penn94,highest_degree,2,0.1,164,36082,8
Facebook Penn94,highest_degree,2,0.1,165,36191,8
Facebook Penn94,highest_degree,2,0.1,166,35979,9
Facebook Penn94,highest_degree,2,0.1,167,36001,8
Facebook Penn94,highest_degree,2,0.1,168,36045,8
Facebook Penn94,highest_degree,2,0.1,169,35987,8
Facebook Penn94,highest_degree,2,0.1,170,36105,8
Facebook Penn94,highest_degree,2,0.1,171,36038,8
Facebook Penn94,highest_degree,2,0.1,172,36131,9
Facebook Penn94,highest_degree,2,0.1,173,36078,9
Facebook Penn94,highest_degree,2,0.1,174,36043,7
Facebook Penn94,highest_degree,2,0.1,175,36163,7
Facebook Penn94,highest_degree,2,0.1,176,36110,10
Facebook Penn94,highest_degree,2,0.1,177,36084,9
Facebook Penn94,highest_degree,2,0.1,178,36109,10
Facebook Penn94,highest_degree,2,0.1,179,35997,9
Facebook Penn94,highest_degree,2,0.1,180,36070,8
Facebook Penn94,highest_degree,2,0.1,181,36103,8
Facebook Penn94,highest_degree,2,0.1,182,36048,8
Facebook Penn94,highest_degree,2,0.1,183,36054,7
Facebook Penn94,highest_degree,2,0.1,184,36036,10
Facebook Penn94,highest_degree,2,0.1,185,36085,11
Facebook Penn94,highest_degree,2,0.1,186,36111,9
Facebook Penn94,highest_degree,2,0.1,187,36070,8
Facebook Penn94,highest_degree,2,0.1,188,36025,11
Facebook Penn94,highest_degree,2,0.1,189,36154,9
Facebook Penn94,highest_degree,2,0.1,190,36154,10
Facebook Penn94,highest_degree,2,0.1,191,36107,7
Facebook Penn94,highest_degree,2,0.1,192,36088,9
Facebook Penn94,highest_degree,2,0.1,193,36046,8
Facebook Penn94,highest_degree,2,0.1,194,36001,8
Facebook Penn94,highest_degree,2,0.1,195,36048,9
Facebook Penn94,highest_degree,2,0.1,196,36071,8
Facebook Penn94,highest_degree,2,0.1,197,36048,8
Facebook Penn94,highest_degree,2,0.1,198,35943,9
Facebook Penn94,highest_degree,2,0.1,199,36081,9
Facebook Penn94,highest_degree,2,0.1,200,36029,9
Facebook Penn94,highest_degree,2,0.1,201,36082,9
Facebook Penn94,highest_degree,2,0.1,202,36112,9
Facebook Penn94,highest_degree,2,0.1,203,36141,9
Facebook Penn94,highest_degree,2,0.1,204,36107,8
Facebook Penn94,highest_degree,2,0.1,205,36106,9
Facebook Penn94,highest_degree,2,0.1,206,36037,8
Facebook Penn94,highest_degree,2,0.1,207,36053,8
Facebook Penn94,highest_degree,2,0.1,208,35999,9
Facebook Penn94,highest_degree,2,0.1,209,36198,9
