network,method,k,time_step,total_active,newly_active,simulation_id
Facebook Penn94,highest_degree,2,0,2,2,0
Facebook Penn94,highest_degree,2,1,820,818,0
Facebook Penn94,highest_degree,2,2,7933,7113,0
Facebook Penn94,highest_degree,2,3,27151,19218,0
Facebook Penn94,highest_degree,2,4,34812,7661,0
Facebook Penn94,highest_degree,2,5,35936,1124,0
Facebook Penn94,highest_degree,2,6,36076,140,0
Facebook Penn94,highest_degree,2,7,36097,21,0
Facebook Penn94,highest_degree,2,8,36099,2,0
Facebook Penn94,highest_degree,4,0,4,4,0
Facebook Penn94,highest_degree,4,1,1342,1338,0
Facebook Penn94,highest_degree,4,2,11301,9959,0
Facebook Penn94,highest_degree,4,3,29639,18338,0
Facebook Penn94,highest_degree,4,4,35289,5650,0
Facebook Penn94,highest_degree,4,5,35974,685,0
Facebook Penn94,highest_degree,4,6,36053,79,0
Facebook Penn94,highest_degree,4,7,36059,6,0
Facebook Penn94,highest_degree,10,0,10,10,0
Facebook Penn94,highest_degree,10,1,2494,2484,0
Facebook Penn94,highest_degree,10,2,16693,14199,0
Facebook Penn94,highest_degree,10,3,32205,15512,0
Facebook Penn94,highest_degree,10,4,35612,3407,0
Facebook Penn94,highest_degree,10,5,36008,396,0
Facebook Penn94,highest_degree,10,6,36053,45,0
Facebook Penn94,highest_degree,10,7,36060,7,0
Facebook Penn94,highest_degree,10,8,36063,3,0
Facebook Penn94,distance_greedy,2,0,2,2,0
Facebook Penn94,distance_greedy,2,1,706,704,0
Facebook Penn94,distance_greedy,2,2,7212,6506,0
Facebook Penn94,distance_greedy,2,3,26488,19276,0
Facebook Penn94,distance_greedy,2,4,34642,8154,0
Facebook Penn94,distance_greedy,2,5,35866,1224,0
Facebook Penn94,distance_greedy,2,6,36017,151,0
Facebook Penn94,distance_greedy,2,7,36039,22,0
Facebook Penn94,distance_greedy,2,8,36040,1,0
Facebook Penn94,distance_greedy,4,0,4,4,0
Facebook Penn94,distance_greedy,4,1,995,991,0
Facebook Penn94,distance_greedy,4,2,9400,8405,0
Facebook Penn94,distance_greedy,4,3,28184,18784,0
Facebook Penn94,distance_greedy,4,4,35024,6840,0
Facebook Penn94,distance_greedy,4,5,35923,899,0
Facebook Penn94,distance_greedy,4,6,36020,97,0
Facebook Penn94,distance_greedy,4,7,36030,10,0
Facebook Penn94,distance_greedy,4,8,36031,1,0
Facebook Penn94,distance_greedy,10,0,10,10,0
Facebook Penn94,distance_greedy,10,1,1347,1337,0
Facebook Penn94,distance_greedy,10,2,11868,10521,0
Facebook Penn94,distance_greedy,10,3,29681,17813,0
Facebook Penn94,distance_greedy,10,4,35190,5509,0
Facebook Penn94,distance_greedy,10,5,35970,780,0
Facebook Penn94,distance_greedy,10,6,36043,73,0
Facebook Penn94,distance_greedy,10,7,36049,6,0
