node,clustering_coefficient
1214,0.08225333908521354
698,0.09619714092181349
1669,0.18232062367028803
2080,0.1911327949112948
708,0.16623240589733349
2113,0.22003815430620355
2911,0.11904770401032466
1609,0.1315097408669326
157,0.21341342624795254
1013,0.22782204244260057
2927,0.1785689496987149
1873,0.2436917810298985
3218,0.22495480350465244
6703,0.2130610662689676
1688,0.24238563159732182
2439,0.2366579344677031
1179,0.21508509974394413
1010,0.24882513104489443
536,0.238449297551709
2397,0.2717862108270382
485,0.2704869779328167
3188,0.21580303977965945
1352,0.2938134516794298
72,0.24360784525464682
402,0.2504399220661254
1048,0.2545510254188624
3126,0.17569902700865
462,0.27939911115432864
41,0.3204342200747373
1086,0.2900073764391956
1171,0.22115790604038735
2481,0.28004378554558507
25,0.3157463147946571
2184,0.2778877492265265
2310,0.2962567674228589
2077,0.23885112303716954
1920,0.30289317595597237
98,0.2931101618659134
6463,0.1940089212772759
1823,0.2816742580924197
2233,0.2870843463245364
1053,0.27921699163594194
5835,0.2424142258752537
3774,0.15223370485419616
5227,0.22954631563904315
655,0.3214154844788777
1425,0.30032112764074936
269,0.280854443095926
1848,0.30810364205018176
2149,0.29931895195197694
5442,0.29193699774563125
1249,0.21634620769683977
1432,0.266532022070888
365,0.28794099450324134
2271,0.2326397891186251
651,0.3276198727658639
3809,0.2332259125249012
2148,0.2955102977488157
2714,0.16870469758186094
5546,0.23590055930050802
433,0.28441049546534974
1253,0.3166551558932049
1772,0.3940085242484885
2155,0.2601855630487218
2202,0.26372191501596787
3270,0.34657841353817986
10520,0.2446044758212732
1193,0.20605302015199892
1997,0.2947681161566061
2746,0.19065903962564218
1511,0.3177175542247226
6348,0.3538734676949122
7680,0.37606748761966513
450,0.34386175702926264
2438,0.36398325691260247
629,0.3311798486947018
739,0.3278699740849198
1182,0.30845846535335447
3440,0.3687073231932262
1747,0.3308260267651131
4098,0.36362586243564454
1235,0.32441003928599144
2312,0.3349707493969126
87,0.30642046099085063
3385,0.19652793267014618
1430,0.3507422916730779
216,0.3187238062846022
1594,0.3655815207997371
591,0.2868947981373859
9777,0.2928745937053764
3068,0.277322309723409
2131,0.34365018822756
1222,0.33443434983959464
745,0.35162331304281963
2174,0.35059553839482877
1672,0.35459334239495927
8495,0.3916450704628303
489,0.35247020551258995
2153,0.3503305441264851
2412,0.3275007524344897
2486,0.35058074966140035
2443,0.3616377886929946
693,0.3479794450895874
3714,0.32296334671674654
1082,0.3313102478125156
819,0.1886249948323618
226,0.3596934443909043
6762,0.24805533863299004
586,0.3314739106820316
8703,0.2755346889572693
1818,0.3546060661378413
1113,0.3580871963219254
1385,0.2698746199089715
1001,0.3690379092908677
2366,0.3372028917128542
797,0.3703026392681565
671,0.3322296769349636
3175,0.22423100043990402
2415,0.3826853401605815
506,0.33806530824179204
212,0.336646562230347
8990,0.2796502612092042
7383,0.2061760726641115
549,0.34005109920937615
229,0.3698116543142721
1209,0.3401269352437324
247,0.3690731981904677
3352,0.2561123488553357
1926,0.3462459499366686
1032,0.4059331418811119
6598,0.28748096210338697
78,0.3191508113064059
11952,0.29507880432974737
2378,0.352757004543423
6722,0.33040560663265794
863,0.29487824943843416
6841,0.227483852502953
11698,0.22360815570423995
2575,0.3781096432258264
1143,0.3194252506735344
10973,0.3411610805402701
970,0.34766203372020826
952,0.367401533657517
2040,0.2839663673585935
3220,0.2288709123316752
3558,0.23603343350961253
3209,0.241822785391536
3621,0.24991177286133215
259,0.3554851034426696
213,0.3325839551096897
200,0.42449407798263544
6867,0.2633053492992675
6525,0.1516130657322187
922,0.18870658420483466
535,0.36796188597287444
2305,0.3255137037073643
2050,0.2756423088643183
11931,0.2981713642855218
1092,0.36380603227151825
1298,0.3240680184987549
1727,0.3885318100004239
56,0.33655856137245715
1885,0.3375612951503545
6951,0.2594389479686554
6732,0.27454873614132896
1509,0.37346845913230753
2066,0.35306756290416963
2400,0.38049382403487547
172,0.3727643480858608
6179,0.2376055938339295
611,0.3229504128642418
211,0.2577925812684248
6392,0.2660372922770648
5094,0.27717933950187246
1280,0.21612222586847807
515,0.31181145064711757
3119,0.2792481514310747
3206,0.2783895079490428
1369,0.3588883505640689
9465,0.24273779568505147
5388,0.1942072432869453
11958,0.29759318067858936
7970,0.38688000490412305
1976,0.2933608912908276
4067,0.2680457612346025
100,0.4073542869389796
3699,0.2849824972026321
3481,0.256102281658206
1258,0.3042160545785096
6581,0.22985478651260402
1454,0.2899373209676962
8616,0.26623299274238127
11465,0.25990160537836954
6645,0.31627993137248517
3138,0.24401018661861987
3766,0.2404700995601924
5846,0.23373361588572325
4985,0.18799684519114868
3302,0.26005921805253357
1306,0.3638748601837101
5906,0.28140334722883825
2210,0.39307620390522025
1012,0.3346930666740876
