node,degree,clustering
1,2582,0.33881270837266075
2,1769,0.32072150075841094
3,2232,0.3172344240251008
4,1212,0.28344411650083257
5,903,0.33692323936226376
6,1924,0.32113500756246466
7,2694,0.36865077625706727
8,519,0.26113479292670044
9,1185,0.45487797924506784
10,1419,0.4072595274090994
11,1940,0.3394985192707475
12,2189,0.364924172132058
13,612,0.2458254441984104
14,2257,0.3460954414477261
15,2060,0.36201898367102514
16,2357,0.3289817636732833
17,1463,0.3997529578204933
18,1189,0.4595888801103267
19,1357,0.42102134023733595
20,3161,0.16570084775287422
21,2113,0.4009114751394685
22,2979,0.266973583384565
23,1193,0.4442244187289389
24,253,0.2637555681033942
25,2969,0.3157463147946571
26,704,0.23420729341781973
27,2372,0.31267963155128403
28,572,0.21457876624251404
29,3055,0.2787867485104454
30,1527,0.3004649382328227
31,2865,0.30620350600095547
32,2083,0.26314665677920573
33,1250,0.4614443554843875
34,70,0.19710144927536233
35,2235,0.3436646177941474
36,3576,0.2284537163060653
37,1335,0.44581080246393656
38,3029,0.27114947406248624
39,2646,0.2813074484151989
40,2210,0.35192722490674716
41,3049,0.3204342200747373
42,249,0.2606555253271149
43,1251,0.42291286970423664
44,1645,0.26701055325065265
45,2046,0.3939073677065632
46,1548,0.2688156956282811
47,209,0.23339160839160839
48,4000,0.222533008252063
49,1191,0.47162683713283804
50,379,0.4995462858259692
51,3105,0.2661761043876687
52,423,0.2529886950578692
53,1425,0.43766016164005517
54,623,0.305930746878758
55,722,0.294750673310768
56,1860,0.33655856137245715
57,533,0.20336018282103005
58,2596,0.29550783627397714
59,2220,0.34868681209375213
60,1605,0.38037227802767226
61,1258,0.4287709020265527
62,1203,0.44772843266210516
63,1900,0.37140434023447244
64,1220,0.435549160155462
65,362,0.23678854012029202
66,1218,0.33902311668440926
67,1802,0.38207716640342243
68,1736,0.2969548068367442
69,1165,0.468607583735233
70,1836,0.253869031718046
71,1986,0.25458765514774706
72,3221,0.24360784525464682
73,4822,0.19731024342124112
74,333,0.36748796989760846
75,1415,0.25615025914504624
76,420,0.3799068075917718
77,2153,0.3312478308990481
78,2055,0.3191508113064059
79,2262,0.3435019128410823
80,679,0.34630573331421793
81,1001,0.43817382617382616
82,3524,0.24564021157543278
83,2627,0.2546918157014378
84,364,0.26552235643144734
85,895,0.3249621936435329
86,810,0.3126920905248058
87,2327,0.30642046099085063
88,2474,0.3062304905918438
89,2035,0.3447486102353359
90,239,0.2715797616117577
91,668,0.33112784924902816
92,1499,0.4016651955776481
93,426,0.2695498481082574
94,380,0.3141230384668796
95,1260,0.34179684052599063
96,1267,0.39941846184154584
97,1321,0.35098410295230886
98,2869,0.2931101618659134
99,832,0.3528880866425993
100,1715,0.4073542869389796
101,2275,0.33371838363922796
102,1346,0.4316167413291206
103,1734,0.2966607232825583
104,1079,0.4818004714734491
105,1216,0.43257526532380336
106,889,0.27728797413836787
107,1288,0.3490688055905447
108,2465,0.34502680382497825
109,1176,0.45835287306411926
110,2459,0.2701065579656075
111,119,0.18800740635237145
112,2041,0.15815152126504692
113,585,0.218024821449479
114,882,0.25978775922022235
115,1773,0.39635414080533304
116,1308,0.40705188949645404
117,1381,0.31342652352317685
118,1282,0.421736869474779
119,2482,0.35034643630024936
120,848,0.26533993450803056
121,684,0.4165489370082111
122,482,0.20720145616411176
123,3694,0.2352770595271553
124,1179,0.4555283390286436
125,3635,0.2844360801508601
126,689,0.4018251932358997
127,90,0.19500624219725343
128,2765,0.178311957144689
129,2499,0.21754514455902457
130,650,0.4386725139267512
131,1211,0.44365356136244205
132,1195,0.4639501552392366
133,3633,0.2374257449153683
134,532,0.29189499171657957
135,2211,0.32820226305739914
136,246,0.2644101543056247
137,2154,0.3701673422371496
138,1184,0.19776078910694295
139,4113,0.20549794189629353
140,2429,0.319423861725729
141,3644,0.2457605566876674
142,1913,0.30934675103399556
143,1146,0.47393859027412605
144,1629,0.27601232573608264
145,952,0.3240706377188099
146,389,0.30107598123658336
147,2129,0.3696368092612932
148,1952,0.42388833805278503
149,559,0.277377036566834
150,1148,0.29883744596569145
151,1306,0.23677926223207946
152,474,0.20990892141907744
153,1437,0.4234845885598091
154,2833,0.2984690621628467
155,2808,0.2586670279937113
156,1446,0.3396028657985039
157,3950,0.21341342624795254
158,2108,0.3371885888639026
159,2192,0.368241678798802
160,1723,0.2656428736578221
161,2754,0.2553511967270933
162,1084,0.5033135372904975
163,1088,0.47309784079225065
164,4673,0.19007930284437852
165,812,0.2754277696452109
166,669,0.33900360713550476
167,1196,0.4510628174808637
168,201,0.245273631840796
169,1974,0.31361372449034614
170,1743,0.33055759202135754
171,1872,0.32616533505095774
172,1808,0.3727643480858608
173,3523,0.24430758656951004
174,1983,0.3111818774416038
175,1260,0.46124790398023124
176,1161,0.38733107606403516
177,2059,0.36994285676526906
178,2187,0.24862543408170462
179,1228,0.428140986330899
180,2090,0.34720076225203333
181,1854,0.4164598531434782
182,1088,0.3257785865035987
183,1153,0.20948672545051555
184,2166,0.3485574882873892
185,1588,0.28767266788246443
186,1532,0.3525793309037081
187,1199,0.44892307306728896
188,2815,0.28895916257332976
189,290,0.23076005249970172
190,1143,0.3602557561215531
191,738,0.2692744702209573
192,2400,0.2758427122412116
193,2466,0.2558863834148476
194,2203,0.369224033118079
195,1373,0.31418506430769166
196,1454,0.3762655834203484
197,1252,0.43556337038995
198,1191,0.44685985225324387
199,2145,0.37505088195386704
200,1934,0.42449407798263544
201,498,0.2964291774744855
202,420,0.3054892601431981
203,2508,0.2921220900457984
204,2230,0.3518531706993222
205,2831,0.3017176065593823
206,1286,0.45157003588480554
207,1133,0.2965656080514223
208,3567,0.24897432547149267
209,1558,0.3327017906625674
210,2919,0.29585840776120903
211,1793,0.2577925812684248
212,2121,0.336646562230347
213,1939,0.3325839551096897
214,781,0.3832890114580255
215,1348,0.4353503444295379
216,2301,0.3187238062846022
217,1164,0.2708468145836842
218,895,0.4143301713471561
219,2518,0.25010642484165657
220,1718,0.33620922867469927
221,1197,0.44412871643992924
222,1241,0.28545397832133296
223,2740,0.3108636270363471
224,2898,0.28680463095375075
225,698,0.18611897900539767
226,2190,0.3596934443909043
227,1667,0.38655030098422094
228,1467,0.3611243630912359
229,2101,0.3698116543142721
230,2150,0.3482788100468579
231,1188,0.45172165349081944
232,2931,0.24786773841587456
233,1243,0.43860303691007807
234,2138,0.3680355866371512
235,756,0.3318231192403378
236,567,0.5539726163990004
237,1431,0.40583092658564357
238,1175,0.46171445141179457
239,1167,0.4635245112521147
240,524,0.2877337147694598
241,1746,0.43121207048776244
242,177,0.16724447868515666
243,1962,0.36753960122490503
244,2090,0.3675163364261648
