node,clustering_coefficient
10564,0.007004534633086621
25940,0.011928760333635406
22766,0.01786589077089797
36823,0.025411252640337962
21,0.04382798773042675
26988,0.02578030961062782
18386,0.029318652603838057
40717,0.028196022235606046
34468,0.07166207780584188
28997,0.021641516378358483
34934,0.07131631912214757
22459,0.08025736203909924
15927,0.04771117421287484
24898,0.08222893161714073
29241,0.07818073399468749
10769,0.049323786793953855
28745,0.08287688944262912
29731,0.08798880982789029
10571,0.038720041123176764
13047,0.10000530040018021
2894,0.055582136070974536
6890,0.04443606818277003
34719,0.0797115174473665
6743,0.0517951098731043
39438,0.07491047982812127
14553,0.0865934065934066
3761,0.0686978394496177
38569,0.11195445920303605
41127,0.0890159978550362
749,0.09205121120014736
4025,0.1296035721656254
25970,0.09216775955233351
26727,0.10955996884735203
23644,0.0787445593579044
22640,0.05651602466889091
10641,0.09369623986237405
7990,0.08134010994710092
24633,0.1463035346530492
10810,0.1113665878946584
23809,0.07556082830025884
23132,0.05136212624584718
4926,0.11306577480490523
19125,0.08661559668271078
1461,0.06475034356390288
23469,0.08632258364096491
21047,0.04406470615737061
14596,0.06823424186790943
30915,0.07929642445213379
24275,0.09448799845141309
12954,0.06281437860385229
22755,0.12979644652366495
16819,0.10012367179021227
41282,0.060522273425499235
14349,0.054769087955442095
30274,0.10380369382095955
36702,0.06832116788321167
31640,0.12522893165228932
15054,0.06836715595839683
10716,0.05130898513251454
36236,0.05212177121771218
5315,0.12256643260360732
39544,0.07314550841299122
11944,0.0793275323139309
32522,0.04355227691871187
25639,0.027464888636686054
4523,0.040566037735849055
22285,0.12253715865883166
38930,0.11162000230441295
8383,0.05088091022552463
6203,0.03374594753905099
32363,0.07951665193044503
41305,0.10392040392040391
33384,0.1242704498518452
28306,0.11661086477845142
10593,0.09830982490272373
12128,0.1255514705882353
21020,0.0421875
2616,0.11465184498996449
4248,0.15956552861722323
20512,0.12933684672815107
4623,0.05406943653955606
8249,0.12530829064693608
40766,0.12656573705179283
7161,0.14718725099601593
3930,0.12160642570281124
784,0.13039253789350952
37876,0.09917087705661355
15648,0.10209612119629098
