node,avg_common,max_common
522,15.183431952662723,71
1,10.481481481481481,42
577,9.047619047619047,18
604,14.849315068493151,42
988,23.285714285714285,64
1594,13.476635514018692,54
1742,34.11895910780669,125
1789,39.53061224489796,109
2762,17.937007874015748,50
3606,22.502857142857142,73
3629,13.51063829787234,42
4301,13.641509433962264,46
4749,15.404761904761905,54
4841,16.372093023255815,54
5198,12.971428571428572,46
5511,10.768141592920355,177
5901,12.973684210526315,51
5983,39.44615384615385,97
6276,12.954545454545455,27
6775,13.882352941176471,51
6991,15.571428571428571,49
7286,16.306306306306308,76
7320,2.32,6
7815,13.954887218045112,47
7947,10.439024390243903,36
8190,16.025062656641605,89
8371,31.61111111111111,74
9073,21.02834008097166,73
9110,5.944444444444445,17
10189,7.0,17
10207,24.605504587155963,62
12886,12.672727272727272,53
12992,19.03409090909091,71
13578,11.812865497076023,47
14447,17.972789115646258,63
14553,30.307692307692307,126
14592,7.393939393939394,33
14632,35.577777777777776,70
14680,11.932773109243698,49
15164,0.2857142857142857,1
15562,9.17741935483871,82
16131,28.74251497005988,101
16710,41.55555555555556,126
17306,10.74698795180723,36
17358,11.783018867924529,47
17468,21.957894736842107,103
18038,16.501160092807424,108
18362,26.149532710280372,56
18368,14.318840579710145,56
18657,14.442477876106194,71
19806,13.935483870967742,43
19996,13.176470588235293,47
20085,17.619289340101524,67
20565,5.764705882352941,16
21089,10.805555555555555,43
21286,15.508196721311476,62
21550,15.102439024390243,52
21589,8.178010471204189,30
21963,9.543859649122806,41
22404,16.07547169811321,32
22501,14.847457627118644,46
22665,13.215686274509803,46
23273,6.441379310344828,27
23293,8.466666666666667,31
23542,7.815384615384615,21
23786,9.615384615384615,19
23850,15.576923076923077,47
24396,21.67295597484277,71
24547,25.626168224299064,66
24697,14.272727272727273,41
24922,2.875,13
25016,24.0,54
25688,8.294117647058824,27
26345,7.0,37
26625,25.548387096774192,83
26710,31.664516129032258,156
26848,12.290322580645162,29
26926,4.413793103448276,18
27053,26.241691842900302,141
27092,9.439024390243903,22
28203,13.797101449275363,36
28645,37.36507936507937,122
29048,9.567567567567568,30
29360,15.55151515151515,67
29514,14.666666666666666,51
29897,5.427230046948357,147
31018,6.761904761904762,21
31561,2.0,3
31886,10.097560975609756,32
32024,6.8059701492537314,20
32094,19.115384615384617,59
32200,5.84375,20
33147,8.295081967213115,24
34015,13.035897435897436,45
34265,12.59016393442623,44
35135,10.475,36
35186,24.53416149068323,83
35779,17.706806282722514,105
36643,5.04,15
36660,10.464285714285714,34
37659,18.55263157894737,44
37848,21.54022988505747,50
38399,10.595744680851064,67
38599,22.850325379609544,134
40779,29.75111111111111,79
40897,13.936507936507937,45
41033,16.911392405063292,56
41172,11.6,49
41207,5.764705882352941,20
4863,5.285714285714286,17
2,3.272727272727273,6
5586,5.333333333333333,9
18982,4.923076923076923,11
23443,15.028571428571428,25
23876,14.91891891891892,28
25185,1.0,1
27670,6.431372549019608,25
28245,19.483870967741936,77
28437,7.935483870967742,22
35536,12.96,58
38148,17.651006711409394,66
121,3.25,15
3,6.48,24
1960,3.2903225806451615,17
2336,5.1940298507462686,38
2580,16.697674418604652,50
4307,6.061538461538461,23
4833,22.41860465116279,61
5062,4.3076923076923075,14
6058,17.680555555555557,82
