network,method,k,p,time_step,mean_newly_active,median_newly_active,q1_newly_active,q3_newly_active
Facebook Penn94,highest_degree,2,0.05,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.05,1,405.55,406.0,393.0,418.0
Facebook Penn94,highest_degree,2,0.05,2,2097.01,2100.0,2001.0,2191.25
Facebook Penn94,highest_degree,2,0.05,3,9051.262,9065.5,8851.5,9267.25
Facebook Penn94,highest_degree,2,0.05,4,12402.141,12400.5,12287.75,12519.0
Facebook Penn94,highest_degree,2,0.05,5,5557.416,5545.5,5380.0,5728.75
Facebook Penn94,highest_degree,2,0.05,6,1396.279,1389.0,1335.0,1456.0
Facebook Penn94,highest_degree,2,0.05,7,293.92,294.0,277.0,312.0
Facebook Penn94,highest_degree,2,0.05,8,60.786,60.0,54.0,68.0
Facebook Penn94,highest_degree,2,0.05,9,12.555,12.0,10.0,15.0
Facebook Penn94,highest_degree,2,0.05,10,3.62,3.0,2.0,5.0
Facebook Penn94,highest_degree,2,0.05,11,2.788,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.05,12,2.728,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.05,13,2.715,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.05,14,2.716,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.05,15,2.716,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.05,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.05,1,685.742,686.0,670.0,702.0
Facebook Penn94,highest_degree,4,0.05,2,3378.916,3378.0,3268.0,3482.25
Facebook Penn94,highest_degree,4,0.05,3,11124.231,11128.5,10988.0,11275.0
Facebook Penn94,highest_degree,4,0.05,4,10947.812,10955.0,10819.0,11074.5
Facebook Penn94,highest_degree,4,0.05,5,3972.764,3970.0,3860.75,4079.25
Facebook Penn94,highest_degree,4,0.05,6,927.034,926.0,890.0,960.0
Facebook Penn94,highest_degree,4,0.05,7,191.708,191.0,180.0,203.25
