level,method,k,simulations,mean_final,std_final,min_final,max_final,median_final
overall,,,6000,31283.324833333332,77.74607852121198,30935.0,31571.0,31283.0
method,distance_greedy,,3000,31283.344666666668,78.32123132744896,30989.0,31536.0,31283.5
method,highest_degree,,3000,31283.305,77.17969212574991,30935.0,31571.0,31282.0
k,,2.0,2000,31283.6645,78.34640399699038,30989.0,31530.0,31282.5
k,,4.0,2000,31283.4325,77.55159294646543,31032.0,31571.0,31282.0
k,,10.0,2000,31282.8775,77.37357319307628,30935.0,31536.0,31283.0
method_k,distance_greedy,2.0,1000,31285.004,79.02560996937027,30989.0,31519.0,31285.0
method_k,distance_greedy,4.0,1000,31283.988,77.29381728308022,31032.0,31530.0,31284.0
method_k,distance_greedy,10.0,1000,31281.042,78.65791316392334,31042.0,31536.0,31283.0
method_k,highest_degree,2.0,1000,31282.325,77.67768790455982,31051.0,31530.0,31280.5
method_k,highest_degree,4.0,1000,31282.877,77.84322345868289,31070.0,31571.0,31281.5
method_k,highest_degree,10.0,1000,31284.713,76.06260678645685,30935.0,31521.0,31284.5
