network,method,k,p,time_step,mean_active,median_active,q1_active,q3_active
Facebook Penn94,highest_degree,2,0.05,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.05,1,407.55,408.0,395.0,420.0
Facebook Penn94,highest_degree,2,0.05,2,2504.56,2507.0,2402.25,2608.0
Facebook Penn94,highest_degree,2,0.05,3,11555.822,11569.5,11264.75,11867.0
Facebook Penn94,highest_degree,2,0.05,4,23957.963,23980.5,23716.75,24196.5
Facebook Penn94,highest_degree,2,0.05,5,29515.379,29516.5,29424.75,29603.0
Facebook Penn94,highest_degree,2,0.05,6,30911.658,30910.0,30858.0,30964.0
Facebook Penn94,highest_degree,2,0.05,7,31205.578,31202.5,31153.0,31259.0
Facebook Penn94,highest_degree,2,0.05,8,31266.364,31265.0,31214.0,31319.0
Facebook Penn94,highest_degree,2,0.05,9,31278.882,31277.5,31228.0,31331.0
Facebook Penn94,highest_degree,2,0.05,10,31281.53,31280.0,31231.0,31333.25
Facebook Penn94,highest_degree,2,0.05,11,31282.133,31280.0,31231.0,31334.0
Facebook Penn94,highest_degree,2,0.05,12,31282.279,31280.5,31231.0,31334.0
Facebook Penn94,highest_degree,2,0.05,13,31282.319,31280.5,31231.0,31334.0
Facebook Penn94,highest_degree,2,0.05,14,31282.324,31280.5,31231.0,31334.0
Facebook Penn94,highest_degree,2,0.05,15,31282.325,31280.5,31231.0,31334.0
Facebook Penn94,highest_degree,4,0.05,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.05,1,689.742,690.0,674.0,706.0
Facebook Penn94,highest_degree,4,0.05,2,4068.658,4067.0,3950.0,4186.25
Facebook Penn94,highest_degree,4,0.05,3,15192.889,15194.0,14944.75,15449.0
Facebook Penn94,highest_degree,4,0.05,4,26140.701,26151.0,25994.0,26298.25
Facebook Penn94,highest_degree,4,0.05,5,30113.465,30113.0,30048.0,30180.0
Facebook Penn94,highest_degree,4,0.05,6,31040.499,31039.0,30988.0,31092.0
Facebook Penn94,highest_degree,4,0.05,7,31232.207,31232.5,31179.0,31284.0
Facebook Penn94,highest_degree,4,0.05,8,31272.045,31271.0,31219.0,31325.0
