network,method,k,p,time_step,mean_newly_active,median_newly_active,q1_newly_active,q3_newly_active
Facebook Penn94,highest_degree,2,0.02,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.02,1,163.184,163.0,155.0,171.25
Facebook Penn94,highest_degree,2,0.02,2,365.816,362.0,334.0,396.0
Facebook Penn94,highest_degree,2,0.02,3,1173.626,1175.0,1073.5,1273.25
Facebook Penn94,highest_degree,2,0.02,4,2602.554,2607.5,2440.75,2757.25
Facebook Penn94,highest_degree,2,0.02,5,4239.514,4249.0,4129.75,4363.0
Facebook Penn94,highest_degree,2,0.02,6,4507.401,4514.0,4437.0,4578.0
Facebook Penn94,highest_degree,2,0.02,7,3241.804,3237.0,3105.75,3375.25
Facebook Penn94,highest_degree,2,0.02,8,1776.818,1768.0,1663.75,1878.0
Facebook Penn94,highest_degree,2,0.02,9,835.338,828.0,769.0,893.25
Facebook Penn94,highest_degree,2,0.02,10,364.47,361.0,331.0,396.0
Facebook Penn94,highest_degree,2,0.02,11,154.059,153.0,136.0,171.0
Facebook Penn94,highest_degree,2,0.02,12,63.827,63.0,54.0,73.0
Facebook Penn94,highest_degree,2,0.02,13,26.609,26.0,21.0,32.0
Facebook Penn94,highest_degree,2,0.02,14,11.018,10.0,7.0,14.0
Facebook Penn94,highest_degree,2,0.02,15,4.871,4.0,3.0,7.0
Facebook Penn94,highest_degree,2,0.02,16,2.877,2.0,1.0,4.0
Facebook Penn94,highest_degree,2,0.02,17,2.268,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.02,18,2.151,2.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.02,19,2.121,1.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.02,20,2.111,1.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.02,21,2.098,1.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.02,22,2.095,1.0,1.0,3.0
Facebook Penn94,highest_degree,2,0.02,23,2.095,1.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.02,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.02,1,278.252,278.0,267.0,289.0
Facebook Penn94,highest_degree,4,0.02,2,619.564,618.0,580.0,656.0
Facebook Penn94,highest_degree,4,0.02,3,1742.947,1743.0,1655.75,1832.0
Facebook Penn94,highest_degree,4,0.02,4,3388.691,3393.0,3271.75,3513.25
Facebook Penn94,highest_degree,4,0.02,5,4594.913,4599.0,4531.0,4660.0
Facebook Penn94,highest_degree,4,0.02,6,4069.119,4075.0,3981.0,4153.25
Facebook Penn94,highest_degree,4,0.02,7,2547.351,2545.0,2442.0,2650.0
Facebook Penn94,highest_degree,4,0.02,8,1287.435,1282.0,1215.75,1350.0
Facebook Penn94,highest_degree,4,0.02,9,580.423,578.0,541.75,615.0
Facebook Penn94,highest_degree,4,0.02,10,248.604,247.0,226.0,269.0
Facebook Penn94,highest_degree,4,0.02,11,103.648,102.0,92.0,115.0
Facebook Penn94,highest_degree,4,0.02,12,42.768,42.0,36.0,49.0
Facebook Penn94,highest_degree,4,0.02,13,17.765,17.0,14.0,21.0
Facebook Penn94,highest_degree,4,0.02,14,7.483,7.0,5.0,10.0
Facebook Penn94,highest_degree,4,0.02,15,3.638,3.0,2.0,5.0
Facebook Penn94,highest_degree,4,0.02,16,2.47,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.02,17,2.18,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.02,18,2.11,2.0,1.0,2.0
Facebook Penn94,highest_degree,4,0.02,19,2.091,1.0,1.0,2.0
Facebook Penn94,highest_degree,4,0.02,20,2.079,1.0,1.0,2.0
Facebook Penn94,highest_degree,4,0.02,21,2.08,1.0,1.0,2.0
Facebook Penn94,highest_degree,4,0.02,22,2.08,1.0,1.0,2.0
Facebook Penn94,highest_degree,4,0.02,23,2.079,1.0,1.0,2.0
Facebook Penn94,highest_degree,4,0.02,24,2.078,1.0,1.0,2.0
Facebook Penn94,highest_degree,4,0.02,25,2.078,1.0,1.0,2.0
Facebook Penn94,highest_degree,10,0.02,0,10.0,10.0,10.0,10.0
