level,method,k,simulations,mean_final,std_final,min_final,max_final,median_final
overall,,,6000,19538.598,138.07857670504433,19077.0,20045.0,19542.0
method,distance_greedy,,3000,19539.862333333334,138.51911984780304,19077.0,20045.0,19545.5
method,highest_degree,,3000,19537.333666666666,137.64809963453868,19095.0,19987.0,19540.0
k,,2.0,2000,19537.255,137.99161140231934,19077.0,19929.0,19539.5
k,,4.0,2000,19539.3755,139.14494298151357,19094.0,20045.0,19543.5
k,,10.0,2000,19539.1635,137.15110637811264,19117.0,19982.0,19545.5
method_k,distance_greedy,2.0,1000,19538.707,139.000144572555,19077.0,19928.0,19541.0
method_k,distance_greedy,4.0,1000,19540.688,139.8517041553486,19094.0,20045.0,19546.0
method_k,distance_greedy,10.0,1000,19540.192,136.81880909627347,19117.0,19982.0,19547.5
method_k,highest_degree,2.0,1000,19535.803,137.0298119401773,19104.0,19929.0,19538.0
method_k,highest_degree,4.0,1000,19538.063,138.49210480779797,19095.0,19987.0,19540.0
method_k,highest_degree,10.0,1000,19538.135,137.5433638964525,19132.0,19955.0,19542.0
