network,method,k,p,time_step,mean_active,median_active,q1_active,q3_active
Facebook Penn94,highest_degree,2,0.02,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.02,1,165.184,165.0,157.0,173.25
Facebook Penn94,highest_degree,2,0.02,2,531.0,528.0,493.75,566.0
Facebook Penn94,highest_degree,2,0.02,3,1704.626,1701.5,1572.75,1835.0
Facebook Penn94,highest_degree,2,0.02,4,4307.18,4312.5,4026.75,4590.0
Facebook Penn94,highest_degree,2,0.02,5,8546.694,8566.5,8168.75,8935.25
Facebook Penn94,highest_degree,2,0.02,6,13054.095,13072.0,12717.5,13408.75
Facebook Penn94,highest_degree,2,0.02,7,16295.899,16309.5,16078.0,16544.25
Facebook Penn94,highest_degree,2,0.02,8,18072.717,18077.5,17929.0,18223.25
Facebook Penn94,highest_degree,2,0.02,9,18908.055,18906.0,18799.75,19016.0
Facebook Penn94,highest_degree,2,0.02,10,19272.525,19271.5,19174.0,19371.0
Facebook Penn94,highest_degree,2,0.02,11,19426.584,19431.0,19331.0,19523.0
Facebook Penn94,highest_degree,2,0.02,12,19490.411,19493.5,19394.75,19587.0
Facebook Penn94,highest_degree,2,0.02,13,19517.02,19518.0,19420.75,19614.0
Facebook Penn94,highest_degree,2,0.02,14,19528.031,19529.0,19433.0,19626.0
Facebook Penn94,highest_degree,2,0.02,15,19532.617,19536.0,19438.0,19630.25
Facebook Penn94,highest_degree,2,0.02,16,19534.502,19537.5,19440.0,19631.25
Facebook Penn94,highest_degree,2,0.02,17,19535.244,19538.0,19440.75,19633.0
Facebook Penn94,highest_degree,2,0.02,18,19535.557,19538.0,19440.75,19633.0
Facebook Penn94,highest_degree,2,0.02,19,19535.715,19538.0,19440.75,19633.0
Facebook Penn94,highest_degree,2,0.02,20,19535.776,19538.0,19440.75,19633.0
Facebook Penn94,highest_degree,2,0.02,21,19535.794,19538.0,19440.75,19633.0
Facebook Penn94,highest_degree,2,0.02,22,19535.802,19538.0,19440.75,19633.0
Facebook Penn94,highest_degree,2,0.02,23,19535.803,19538.0,19440.75,19633.0
Facebook Penn94,highest_degree,4,0.02,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.02,1,282.252,282.0,271.0,293.0
Facebook Penn94,highest_degree,4,0.02,2,901.816,901.0,855.0,945.0
Facebook Penn94,highest_degree,4,0.02,3,2644.763,2645.5,2520.75,2771.0
Facebook Penn94,highest_degree,4,0.02,4,6033.454,6024.5,5792.0,6279.0
Facebook Penn94,highest_degree,4,0.02,5,10628.367,10651.0,10347.0,10925.25
Facebook Penn94,highest_degree,4,0.02,6,14697.486,14716.5,14472.75,14932.25
Facebook Penn94,highest_degree,4,0.02,7,17244.837,17251.0,17095.75,17409.0
Facebook Penn94,highest_degree,4,0.02,8,18532.272,18534.0,18424.0,18644.0
Facebook Penn94,highest_degree,4,0.02,9,19112.695,19113.5,19018.0,19206.25
Facebook Penn94,highest_degree,4,0.02,10,19361.299,19360.0,19268.75,19453.0
Facebook Penn94,highest_degree,4,0.02,11,19464.947,19464.0,19373.75,19556.0
Facebook Penn94,highest_degree,4,0.02,12,19507.715,19507.0,19417.0,19600.0
Facebook Penn94,highest_degree,4,0.02,13,19525.48,19525.5,19434.75,19618.25
Facebook Penn94,highest_degree,4,0.02,14,19532.932,19533.0,19441.75,19626.0
Facebook Penn94,highest_degree,4,0.02,15,19535.996,19537.5,19443.75,19629.25
Facebook Penn94,highest_degree,4,0.02,16,19537.197,19538.5,19444.0,19630.0
Facebook Penn94,highest_degree,4,0.02,17,19537.688,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,4,0.02,18,19537.9,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,4,0.02,19,19537.999,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,4,0.02,20,19538.038,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,4,0.02,21,19538.055,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,4,0.02,22,19538.059,19540.0,19444.0,19630.25
