network,method,k,time_step,total_active,newly_active,simulation_id
Facebook Penn94,highest_degree,2,0,2,2,0
Facebook Penn94,highest_degree,2,1,168,166,0
Facebook Penn94,highest_degree,2,2,617,449,0
Facebook Penn94,highest_degree,2,3,1876,1259,0
Facebook Penn94,highest_degree,2,4,4677,2801,0
Facebook Penn94,highest_degree,2,5,8952,4275,0
Facebook Penn94,highest_degree,2,6,13396,4444,0
Facebook Penn94,highest_degree,2,7,16423,3027,0
Facebook Penn94,highest_degree,2,8,18033,1610,0
Facebook Penn94,highest_degree,2,9,18821,788,0
Facebook Penn94,highest_degree,2,10,19139,318,0
Facebook Penn94,highest_degree,2,11,19267,128,0
Facebook Penn94,highest_degree,2,12,19311,44,0
Facebook Penn94,highest_degree,2,13,19326,15,0
Facebook Penn94,highest_degree,2,14,19330,4,0
Facebook Penn94,highest_degree,2,15,19332,2,0
Facebook Penn94,highest_degree,2,16,19333,1,0
Facebook Penn94,highest_degree,4,0,4,4,0
Facebook Penn94,highest_degree,4,1,300,296,0
Facebook Penn94,highest_degree,4,2,936,636,0
Facebook Penn94,highest_degree,4,3,2733,1797,0
Facebook Penn94,highest_degree,4,4,6144,3411,0
Facebook Penn94,highest_degree,4,5,10832,4688,0
Facebook Penn94,highest_degree,4,6,14939,4107,0
Facebook Penn94,highest_degree,4,7,17397,2458,0
Facebook Penn94,highest_degree,4,8,18603,1206,0
Facebook Penn94,highest_degree,4,9,19156,553,0
Facebook Penn94,highest_degree,4,10,19392,236,0
Facebook Penn94,highest_degree,4,11,19474,82,0
Facebook Penn94,highest_degree,4,12,19512,38,0
Facebook Penn94,highest_degree,4,13,19523,11,0
Facebook Penn94,highest_degree,4,14,19526,3,0
Facebook Penn94,highest_degree,4,15,19527,1,0
Facebook Penn94,highest_degree,10,0,10,10,0
Facebook Penn94,highest_degree,10,1,574,564,0
Facebook Penn94,highest_degree,10,2,1740,1166,0
Facebook Penn94,highest_degree,10,3,4311,2571,0
Facebook Penn94,highest_degree,10,4,8360,4049,0
Facebook Penn94,highest_degree,10,5,12824,4464,0
Facebook Penn94,highest_degree,10,6,16123,3299,0
Facebook Penn94,highest_degree,10,7,17949,1826,0
Facebook Penn94,highest_degree,10,8,18866,917,0
Facebook Penn94,highest_degree,10,9,19262,396,0
Facebook Penn94,highest_degree,10,10,19409,147,0
Facebook Penn94,highest_degree,10,11,19469,60,0
Facebook Penn94,highest_degree,10,12,19493,24,0
Facebook Penn94,highest_degree,10,13,19503,10,0
Facebook Penn94,highest_degree,10,14,19507,4,0
Facebook Penn94,highest_degree,10,15,19509,2,0
Facebook Penn94,distance_greedy,2,0,2,2,0
Facebook Penn94,distance_greedy,2,1,147,145,0
Facebook Penn94,distance_greedy,2,2,574,427,0
Facebook Penn94,distance_greedy,2,3,1865,1291,0
Facebook Penn94,distance_greedy,2,4,4587,2722,0
Facebook Penn94,distance_greedy,2,5,8856,4269,0
Facebook Penn94,distance_greedy,2,6,13285,4429,0
Facebook Penn94,distance_greedy,2,7,16377,3092,0
Facebook Penn94,distance_greedy,2,8,18010,1633,0
Facebook Penn94,distance_greedy,2,9,18826,816,0
Facebook Penn94,distance_greedy,2,10,19189,363,0
Facebook Penn94,distance_greedy,2,11,19320,131,0
Facebook Penn94,distance_greedy,2,12,19372,52,0
Facebook Penn94,distance_greedy,2,13,19386,14,0
Facebook Penn94,distance_greedy,2,14,19389,3,0
Facebook Penn94,distance_greedy,2,15,19394,5,0
Facebook Penn94,distance_greedy,2,16,19395,1,0
Facebook Penn94,distance_greedy,4,0,4,4,0
Facebook Penn94,distance_greedy,4,1,217,213,0
Facebook Penn94,distance_greedy,4,2,723,506,0
Facebook Penn94,distance_greedy,4,3,2239,1516,0
Facebook Penn94,distance_greedy,4,4,5314,3075,0
Facebook Penn94,distance_greedy,4,5,9883,4569,0
Facebook Penn94,distance_greedy,4,6,14170,4287,0
Facebook Penn94,distance_greedy,4,7,16877,2707,0
Facebook Penn94,distance_greedy,4,8,18239,1362,0
Facebook Penn94,distance_greedy,4,9,18882,643,0
Facebook Penn94,distance_greedy,4,10,19156,274,0
Facebook Penn94,distance_greedy,4,11,19260,104,0
Facebook Penn94,distance_greedy,4,12,19297,37,0
Facebook Penn94,distance_greedy,4,13,19316,19,0
Facebook Penn94,distance_greedy,4,14,19318,2,0
Facebook Penn94,distance_greedy,4,15,19319,1,0
Facebook Penn94,distance_greedy,10,0,10,10,0
Facebook Penn94,distance_greedy,10,1,302,292,0
Facebook Penn94,distance_greedy,10,2,1050,748,0
Facebook Penn94,distance_greedy,10,3,3080,2030,0
Facebook Penn94,distance_greedy,10,4,6870,3790,0
Facebook Penn94,distance_greedy,10,5,11546,4676,0
Facebook Penn94,distance_greedy,10,6,15241,3695,0
Facebook Penn94,distance_greedy,10,7,17473,2232,0
Facebook Penn94,distance_greedy,10,8,18578,1105,0
Facebook Penn94,distance_greedy,10,9,19092,514,0
Facebook Penn94,distance_greedy,10,10,19311,219,0
Facebook Penn94,distance_greedy,10,11,19391,80,0
Facebook Penn94,distance_greedy,10,12,19423,32,0
Facebook Penn94,distance_greedy,10,13,19431,8,0
Facebook Penn94,distance_greedy,10,14,19438,7,0
Facebook Penn94,distance_greedy,10,15,19439,1,0
