network,method,k,p,simulation_id,final_active_count,total_steps
Facebook Penn94,highest_degree,2,0.02,0,19333,16
Facebook Penn94,highest_degree,2,0.02,1,19287,15
Facebook Penn94,highest_degree,2,0.02,2,19368,16
Facebook Penn94,highest_degree,2,0.02,3,19670,18
Facebook Penn94,highest_degree,2,0.02,4,19591,15
Facebook Penn94,highest_degree,2,0.02,5,19589,16
Facebook Penn94,highest_degree,2,0.02,6,19502,15
Facebook Penn94,highest_degree,2,0.02,7,19550,14
Facebook Penn94,highest_degree,2,0.02,8,19525,15
Facebook Penn94,highest_degree,2,0.02,9,19674,14
Facebook Penn94,highest_degree,2,0.02,10,19553,14
Facebook Penn94,highest_degree,2,0.02,11,19705,15
Facebook Penn94,highest_degree,2,0.02,12,19505,15
Facebook Penn94,highest_degree,2,0.02,13,19541,17
Facebook Penn94,highest_degree,2,0.02,14,19758,16
Facebook Penn94,highest_degree,2,0.02,15,19690,18
Facebook Penn94,highest_degree,2,0.02,16,19572,15
Facebook Penn94,highest_degree,2,0.02,17,19515,16
Facebook Penn94,highest_degree,2,0.02,18,19520,19
Facebook Penn94,highest_degree,2,0.02,19,19451,16
Facebook Penn94,highest_degree,2,0.02,20,19777,17
Facebook Penn94,highest_degree,2,0.02,21,19667,16
Facebook Penn94,highest_degree,2,0.02,22,19639,17
Facebook Penn94,highest_degree,2,0.02,23,19586,15
Facebook Penn94,highest_degree,2,0.02,24,19496,15
Facebook Penn94,highest_degree,2,0.02,25,19427,16
Facebook Penn94,highest_degree,2,0.02,26,19354,17
Facebook Penn94,highest_degree,2,0.02,27,19432,16
Facebook Penn94,highest_degree,2,0.02,28,19689,15
Facebook Penn94,highest_degree,2,0.02,29,19576,19
Facebook Penn94,highest_degree,2,0.02,30,19439,15
Facebook Penn94,highest_degree,2,0.02,31,19578,15
Facebook Penn94,highest_degree,2,0.02,32,19647,15
Facebook Penn94,highest_degree,2,0.02,33,19720,18
Facebook Penn94,highest_degree,2,0.02,34,19574,17
Facebook Penn94,highest_degree,2,0.02,35,19426,16
Facebook Penn94,highest_degree,2,0.02,36,19666,19
Facebook Penn94,highest_degree,2,0.02,37,19362,16
Facebook Penn94,highest_degree,2,0.02,38,19453,18
Facebook Penn94,highest_degree,2,0.02,39,19614,18
Facebook Penn94,highest_degree,2,0.02,40,19529,17
Facebook Penn94,highest_degree,2,0.02,41,19447,20
Facebook Penn94,highest_degree,2,0.02,42,19647,17
Facebook Penn94,highest_degree,2,0.02,43,19380,15
Facebook Penn94,highest_degree,2,0.02,44,19377,15
Facebook Penn94,highest_degree,2,0.02,45,19473,16
Facebook Penn94,highest_degree,2,0.02,46,19539,16
Facebook Penn94,highest_degree,2,0.02,47,19622,16
Facebook Penn94,highest_degree,2,0.02,48,19634,15
Facebook Penn94,highest_degree,2,0.02,49,19606,17
Facebook Penn94,highest_degree,2,0.02,50,19327,14
Facebook Penn94,highest_degree,2,0.02,51,19791,17
Facebook Penn94,highest_degree,2,0.02,52,19674,17
Facebook Penn94,highest_degree,2,0.02,53,19510,15
Facebook Penn94,highest_degree,2,0.02,54,19508,17
Facebook Penn94,highest_degree,2,0.02,55,19693,19
Facebook Penn94,highest_degree,2,0.02,56,19490,19
Facebook Penn94,highest_degree,2,0.02,57,19420,15
Facebook Penn94,highest_degree,2,0.02,58,19393,17
Facebook Penn94,highest_degree,2,0.02,59,19484,20
Facebook Penn94,highest_degree,2,0.02,60,19616,19
Facebook Penn94,highest_degree,2,0.02,61,19492,18
Facebook Penn94,highest_degree,2,0.02,62,19592,18
Facebook Penn94,highest_degree,2,0.02,63,19375,14
Facebook Penn94,highest_degree,2,0.02,64,19579,15
Facebook Penn94,highest_degree,2,0.02,65,19530,19
Facebook Penn94,highest_degree,2,0.02,66,19356,17
Facebook Penn94,highest_degree,2,0.02,67,19513,17
Facebook Penn94,highest_degree,2,0.02,68,19488,15
Facebook Penn94,highest_degree,2,0.02,69,19614,15
Facebook Penn94,highest_degree,2,0.02,70,19436,18
Facebook Penn94,highest_degree,2,0.02,71,19655,16
Facebook Penn94,highest_degree,2,0.02,72,19589,17
Facebook Penn94,highest_degree,2,0.02,73,19659,16
Facebook Penn94,highest_degree,2,0.02,74,19604,18
Facebook Penn94,highest_degree,2,0.02,75,19456,16
Facebook Penn94,highest_degree,2,0.02,76,19681,16
Facebook Penn94,highest_degree,2,0.02,77,19532,18
Facebook Penn94,highest_degree,2,0.02,78,19494,16
Facebook Penn94,highest_degree,2,0.02,79,19672,15
Facebook Penn94,highest_degree,2,0.02,80,19395,16
Facebook Penn94,highest_degree,2,0.02,81,19424,17
