nodeID,nodeLabel,relevance_lunch,relevance_facebook,relevance_coauthor,relevance_leisure,relevance_work,exclusive_relevance_lunch,exclusive_relevance_facebook,exclusive_relevance_coauthor,exclusive_relevance_leisure,exclusive_relevance_work,relevance_lunch_facebook,exclusive_relevance_lunch_facebook,relevance_lunch_coauthor,exclusive_relevance_lunch_coauthor,relevance_lunch_leisure,exclusive_relevance_lunch_leisure,relevance_lunch_work,exclusive_relevance_lunch_work,relevance_facebook_coauthor,exclusive_relevance_facebook_coauthor,relevance_facebook_leisure,exclusive_relevance_facebook_leisure,relevance_facebook_work,exclusive_relevance_facebook_work,relevance_coauthor_leisure,exclusive_relevance_coauthor_leisure,relevance_coauthor_work,exclusive_relevance_coauthor_work,relevance_leisure_work,exclusive_relevance_leisure_work,occupation_centrality
1,U102,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038868
2,U139,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0085812
3,U33,0.6,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.4,0.6,0.1,0.6,0.1,0.6,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.4,0.0,0.0,0.9,0.4,0.9,0.4,0.0122728
4,U106,0.5,0.5,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,1.0,0.7142857142857143,0.5,0.2857142857142857,0.5,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.42857142857142855,0.6428571428571429,0.42857142857142855,0.7142857142857143,0.5,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0174412
5,U107,0.3333333333333333,0.5555555555555556,0.0,0.3333333333333333,0.6666666666666666,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.0,0.4444444444444444,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.0131184
6,U118,0.5,0.0,0.16666666666666666,0.16666666666666666,0.75,0.25,0.0,0.0,0.0,0.5,0.5,0.25,0.5,0.25,0.5,0.25,1.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.75,0.5,0.16666666666666666,0.0,0.75,0.5,0.75,0.5,0.0182964
7,U123,0.20689655172413793,0.3793103448275862,0.0,0.0,0.9310344827586207,0.0,0.06896551724137931,0.0,0.0,0.5172413793103449,0.4827586206896552,0.06896551724137931,0.20689655172413793,0.0,0.20689655172413793,0.0,0.9310344827586207,0.6206896551724138,0.3793103448275862,0.06896551724137931,0.3793103448275862,0.06896551724137931,1.0,0.7931034482758621,0.0,0.0,0.9310344827586207,0.5172413793103449,0.9310344827586207,0.5172413793103449,0.0305396
8,U1,0.5,0.42857142857142855,0.07142857142857142,0.35714285714285715,0.8571428571428571,0.0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.7142857142857143,0.14285714285714285,0.5,0.0,0.5714285714285714,0.0,0.9285714285714286,0.2857142857142857,0.42857142857142855,0.07142857142857142,0.7142857142857143,0.07142857142857142,1.0,0.42857142857142855,0.35714285714285715,0.0,0.8571428571428571,0.21428571428571427,0.8571428571428571,0.2857142857142857,0.028986
9,U21,0.75,0.5,0.0,0.125,0.25,0.25,0.125,0.0,0.0,0.125,0.875,0.625,0.75,0.25,0.75,0.375,0.875,0.375,0.5,0.125,0.625,0.125,0.625,0.25,0.125,0.0,0.25,0.125,0.375,0.125,0.0083
10,U22,0.8571428571428571,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.2857142857142857,1.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.0,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0114912
