year,avg_degree,avg_weighted_degree,avg_clustering
1936,0.0,0.0,0.0
1937,0.0,0.0,0.0
1938,1.0,1.0,0.0
1939,1.0,1.0,0.0
1940,1.2,1.2,0.0
1941,1.2,1.2,0.0
1942,1.1428571428571428,1.1428571428571428,0.0
1943,1.1428571428571428,1.1428571428571428,0.0
1944,1.1428571428571428,1.1428571428571428,0.0
1945,1.0909090909090908,1.0909090909090908,0.0
1946,1.0526315789473684,1.1578947368421053,0.0
1947,1.0476190476190477,1.2380952380952381,0.0
1948,1.0434782608695652,1.3043478260869565,0.0
1949,1.0434782608695652,1.391304347826087,0.0
1950,1.0833333333333333,1.5,0.0
1951,1.0769230769230769,1.5384615384615385,0.0
1952,1.2,1.542857142857143,0.08571428571428572
1953,1.2903225806451613,1.4838709677419355,0.16129032258064516
1954,1.3643410852713178,1.4728682170542635,0.23901808785529716
1955,1.3544973544973544,1.470899470899471,0.2583774250440917
1956,1.400749063670412,1.5056179775280898,0.24194756554307115
1957,1.5142118863049097,1.6175710594315245,0.27571059431524547
1958,1.5419222903885481,1.705521472392638,0.27325932417956955
1959,1.6155844155844157,1.7922077922077921,0.2971861471861472
1960,1.8427672955974843,2.0167714884696015,0.3351546866040995
1961,1.851170568561873,2.036789297658863,0.34976517555826037
1962,1.9141414141414141,2.1047979797979797,0.3628793977445938
1963,1.959205020920502,2.2301255230125525,0.37229277302044267
1964,1.9746614242027085,2.235037134119703,0.37964916001556265
1965,1.971924639822682,2.231991134096786,0.3719147227121722
1966,1.9919926085617492,2.2525408068986756,0.36960044191602415
1967,1.9690198070086338,2.2412392077196546,0.3646742888937766
1968,1.9710381399143382,2.252498470324291,0.3650002338206178
1969,1.9820643573061367,2.272551433093019,0.36548724310411446
1970,2.014510651435628,2.3281877122568693,0.36766949013143263
1971,2.0942787033449566,2.4419475655430714,0.37706619928371243
1972,2.133066310636404,2.505340453938585,0.3744251894559192
1973,2.1513748464518567,2.537843711612964,0.3726807794879439
1974,2.2756872375821913,2.671631149489028,0.3860598846825607
1975,2.320160564744965,2.7596373451449927,0.3896735818248818
1976,2.41946587537092,2.903857566765579,0.40366181821323727
1977,2.4688500878189896,2.969108378964769,0.40525577589868284
1978,2.5204590133955103,3.058839665340831,0.4083794697087427
1979,2.5855750171918612,3.1579628655798713,0.41628834586893765
1980,2.6725306416726746,3.289473684210526,0.4214953540891467
1981,2.745619956922879,3.434339537724628,0.42824753847464486
1982,2.8129201321636095,3.546712999886066,0.43643653336657046
1983,2.8925452985413616,3.6787967496088427,0.4420329924658699
1984,2.9598640056517134,3.7817467326033203,0.4513607138220017
1985,3.026174522941891,3.888679910661808,0.4572299454544489
1986,3.095726085615382,4.007574459334407,0.4651822587323865
1987,3.1549747405995703,4.122666908672898,0.471015963234021
1988,3.2400210637177462,4.269562927856767,0.47943011879445396
1989,3.33077669454327,4.435799103636279,0.48718329502613406
1990,3.415952524642929,4.588613960973647,0.4953267905787025
1991,3.5368764035049094,4.809000044031526,0.5043553165289985
1992,3.656549062759107,5.039124673573604,0.5121254328029737
1993,3.7878514002050396,5.296133923272001,0.5196548848174357
1994,3.9199726482828545,5.573560792728216,0.526532836103709
1995,4.073838612881434,5.88863461407542,0.532954004551163
1996,4.210113856872326,6.178888551188834,0.537919528361757
1997,4.376678807905574,6.510390981270783,0.546164878999593
1998,4.546628093096494,6.847019151851866,0.553637474557603
1999,4.70787384098611,7.180171794098843,0.5610024204704358
2000,4.855836972171389,7.512175941392288,0.5656226735149702
2001,5.014423330833501,7.840804664476672,0.5719301901815667
2002,5.179884468086618,8.206976914933175,0.5777645288637023
2003,5.383864066295605,8.627998429531527,0.5842695654331511
2004,5.599282320963656,9.097091773853496,0.5910517194745102
2005,5.821129374207416,9.604688017678807,0.5964956574310947
2006,6.0478040599357,10.1137722118409,0.6007057285146866
2007,6.275421901726971,10.62027225982387,0.6039707779170262
2008,6.495354305304425,11.074317188490097,0.607563354983415
2009,6.696451537868586,11.491340851176128,0.6101686487649777
2010,6.921646176696234,11.949584468690594,0.6123738809751618
2011,7.140100167573895,12.37477640402006,0.6146557758599086
2012,7.385498065767803,12.868652775421923,0.616835853420281
2013,7.640084643375851,13.398417174617904,0.6193351511526142
2014,7.897316523659122,13.922525740034258,0.6218345591705404
2015,8.167937783617779,14.468742379562713,0.6249116525061933
2016,8.465112164784307,15.063000760958195,0.627937430811877
2017,8.633131864560992,15.403815181756071,0.6295159814815984
2018,8.633362950794783,15.404152743092096,0.6295165519932067
