level,method,k,simulations,mean_final,std_final,min_final,max_final,median_final
overall,,,6000,38745.475333333336,37.86385704292749,38597.0,38873.0,38745.0
method,distance_greedy,,3000,38745.414666666664,38.0952464334134,38597.0,38861.0,38746.0
method,highest_degree,,3000,38745.536,37.63729833656181,38611.0,38873.0,38745.0
k,,2.0,2000,38744.6515,38.72474468186121,38607.0,38868.0,38744.0
k,,4.0,2000,38746.198,36.88391258399455,38597.0,38869.0,38746.0
k,,10.0,2000,38745.5765,37.963255288845595,38626.0,38873.0,38745.5
method_k,distance_greedy,2.0,1000,38744.615,38.702230396162406,38607.0,38851.0,38746.0
method_k,distance_greedy,4.0,1000,38746.244,37.16002329562418,38597.0,38858.0,38745.0
method_k,distance_greedy,10.0,1000,38745.385,38.42641492989379,38626.0,38861.0,38747.0
method_k,highest_degree,2.0,1000,38744.688,38.76657714453913,38611.0,38868.0,38744.0
method_k,highest_degree,4.0,1000,38746.152,36.624257429089695,38624.0,38869.0,38746.0
method_k,highest_degree,10.0,1000,38745.768,37.512629518248566,38634.0,38873.0,38745.0
