network,method,k,p,simulation_id,final_active_count,total_steps
Facebook Penn94,highest_degree,2,0.2,0,38688,6
Facebook Penn94,highest_degree,2,0.2,1,38752,6
Facebook Penn94,highest_degree,2,0.2,2,38803,6
Facebook Penn94,highest_degree,2,0.2,3,38771,7
Facebook Penn94,highest_degree,2,0.2,4,38754,8
Facebook Penn94,highest_degree,2,0.2,5,38744,7
Facebook Penn94,highest_degree,2,0.2,6,38756,6
Facebook Penn94,highest_degree,2,0.2,7,38784,6
Facebook Penn94,highest_degree,2,0.2,8,38764,7
Facebook Penn94,highest_degree,2,0.2,9,38729,7
Facebook Penn94,highest_degree,2,0.2,10,38692,7
Facebook Penn94,highest_degree,2,0.2,11,38737,7
Facebook Penn94,highest_degree,2,0.2,12,38795,8
Facebook Penn94,highest_degree,2,0.2,13,38762,7
Facebook Penn94,highest_degree,2,0.2,14,38770,7
Facebook Penn94,highest_degree,2,0.2,15,38725,7
Facebook Penn94,highest_degree,2,0.2,16,38744,7
Facebook Penn94,highest_degree,2,0.2,17,38666,6
Facebook Penn94,highest_degree,2,0.2,18,38688,7
Facebook Penn94,highest_degree,2,0.2,19,38758,6
Facebook Penn94,highest_degree,2,0.2,20,38731,7
Facebook Penn94,highest_degree,2,0.2,21,38741,6
Facebook Penn94,highest_degree,2,0.2,22,38735,6
Facebook Penn94,highest_degree,2,0.2,23,38704,6
Facebook Penn94,highest_degree,2,0.2,24,38724,7
Facebook Penn94,highest_degree,2,0.2,25,38783,7
Facebook Penn94,highest_degree,2,0.2,26,38800,7
Facebook Penn94,highest_degree,2,0.2,27,38741,7
Facebook Penn94,highest_degree,2,0.2,28,38732,7
Facebook Penn94,highest_degree,2,0.2,29,38743,6
Facebook Penn94,highest_degree,2,0.2,30,38755,7
Facebook Penn94,highest_degree,2,0.2,31,38757,8
Facebook Penn94,highest_degree,2,0.2,32,38782,6
Facebook Penn94,highest_degree,2,0.2,33,38704,7
Facebook Penn94,highest_degree,2,0.2,34,38775,6
Facebook Penn94,highest_degree,2,0.2,35,38649,7
Facebook Penn94,highest_degree,2,0.2,36,38677,6
Facebook Penn94,highest_degree,2,0.2,37,38763,7
Facebook Penn94,highest_degree,2,0.2,38,38771,7
Facebook Penn94,highest_degree,2,0.2,39,38703,6
Facebook Penn94,highest_degree,2,0.2,40,38776,7
Facebook Penn94,highest_degree,2,0.2,41,38708,7
Facebook Penn94,highest_degree,2,0.2,42,38672,7
Facebook Penn94,highest_degree,2,0.2,43,38751,7
Facebook Penn94,highest_degree,2,0.2,44,38740,6
Facebook Penn94,highest_degree,2,0.2,45,38705,7
Facebook Penn94,highest_degree,2,0.2,46,38717,6
Facebook Penn94,highest_degree,2,0.2,47,38729,10
Facebook Penn94,highest_degree,2,0.2,48,38720,6
Facebook Penn94,highest_degree,2,0.2,49,38767,7
Facebook Penn94,highest_degree,2,0.2,50,38738,6
Facebook Penn94,highest_degree,2,0.2,51,38868,7
