network,method,k,p,time_step,mean_newly_active,median_newly_active,q1_newly_active,q3_newly_active
Facebook Penn94,highest_degree,2,0.2,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.2,1,1578.589,1578.0,1556.0,1602.0
Facebook Penn94,highest_degree,2,0.2,2,17267.166,17261.0,17083.0,17479.0
Facebook Penn94,highest_degree,2,0.2,3,17526.343,17530.0,17353.75,17687.0
Facebook Penn94,highest_degree,2,0.2,4,2205.689,2205.0,2148.0,2260.0
Facebook Penn94,highest_degree,2,0.2,5,151.271,151.0,142.0,160.0
Facebook Penn94,highest_degree,2,0.2,6,12.242,12.0,10.0,15.0
Facebook Penn94,highest_degree,2,0.2,7,4.967,2.0,1.0,9.0
Facebook Penn94,highest_degree,2,0.2,8,4.834,2.0,1.0,9.0
Facebook Penn94,highest_degree,2,0.2,9,4.835,2.0,1.0,9.0
Facebook Penn94,highest_degree,2,0.2,10,4.833,2.0,1.0,9.0
Facebook Penn94,highest_degree,4,0.2,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.2,1,2562.418,2560.5,2534.0,2591.0
Facebook Penn94,highest_degree,4,0.2,2,21007.421,21009.0,20883.0,21124.25
Facebook Penn94,highest_degree,4,0.2,3,13634.877,13632.5,13514.75,13752.25
Facebook Penn94,highest_degree,4,0.2,4,1430.747,1430.0,1400.0,1463.0
Facebook Penn94,highest_degree,4,0.2,5,97.452,97.0,91.0,104.0
Facebook Penn94,highest_degree,4,0.2,6,8.414,8.0,6.0,10.0
Facebook Penn94,highest_degree,4,0.2,7,4.264,3.0,1.0,7.0
Facebook Penn94,highest_degree,4,0.2,8,4.2,2.0,1.0,7.0
Facebook Penn94,highest_degree,4,0.2,9,4.198,2.0,1.0,7.0
Facebook Penn94,highest_degree,4,0.2,10,4.198,2.0,1.0,7.0
Facebook Penn94,highest_degree,4,0.2,11,4.198,2.0,1.0,7.0
Facebook Penn94,highest_degree,10,0.2,0,10.0,10.0,10.0,10.0
Facebook Penn94,highest_degree,10,0.2,1,4382.015,4382.0,4350.0,4415.0
Facebook Penn94,highest_degree,10,0.2,2,23814.466,23814.0,23746.0,23880.0
Facebook Penn94,highest_degree,10,0.2,3,9619.02,9620.5,9542.75,9701.25
Facebook Penn94,highest_degree,10,0.2,4,855.715,855.0,835.0,878.0
Facebook Penn94,highest_degree,10,0.2,5,58.786,58.0,53.0,64.0
Facebook Penn94,highest_degree,10,0.2,6,5.51,5.0,3.0,7.0
Facebook Penn94,highest_degree,10,0.2,7,3.789,3.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.2,8,3.746,3.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.2,9,3.742,3.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.2,10,3.743,3.0,1.0,5.0
Facebook Penn94,distance_greedy,2,0.2,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.2,1,1339.442,1339.0,1318.0,1361.0
Facebook Penn94,distance_greedy,2,0.2,2,16083.208,16091.5,15852.75,16298.0
Facebook Penn94,distance_greedy,2,0.2,3,18648.756,18642.0,18473.5,18839.5
Facebook Penn94,distance_greedy,2,0.2,4,2484.815,2484.5,2419.75,2550.0
Facebook Penn94,distance_greedy,2,0.2,5,171.511,172.0,161.0,182.0
Facebook Penn94,distance_greedy,2,0.2,6,13.373,13.0,11.0,16.0
Facebook Penn94,distance_greedy,2,0.2,7,4.85,2.0,1.0,8.0
Facebook Penn94,distance_greedy,2,0.2,8,4.675,2.0,1.0,8.0
Facebook Penn94,distance_greedy,2,0.2,9,4.673,2.0,1.0,8.0
Facebook Penn94,distance_greedy,2,0.2,10,4.671,2.0,1.0,8.0
Facebook Penn94,distance_greedy,2,0.2,11,4.671,2.0,1.0,8.0
Facebook Penn94,distance_greedy,4,0.2,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.2,1,1877.295,1877.0,1851.0,1902.0
Facebook Penn94,distance_greedy,4,0.2,2,18995.465,19004.0,18832.75,19163.25
Facebook Penn94,distance_greedy,4,0.2,3,15829.287,15818.0,15682.0,15978.0
Facebook Penn94,distance_greedy,4,0.2,4,1897.313,1894.0,1848.0,1942.0
Facebook Penn94,distance_greedy,4,0.2,5,131.146,131.0,123.0,139.0
Facebook Penn94,distance_greedy,4,0.2,6,10.478,10.0,8.0,13.0
Facebook Penn94,distance_greedy,4,0.2,7,4.668,2.0,1.0,8.0
Facebook Penn94,distance_greedy,4,0.2,8,4.538,2.0,1.0,8.0
Facebook Penn94,distance_greedy,4,0.2,9,4.538,2.0,1.0,8.0
Facebook Penn94,distance_greedy,4,0.2,10,4.54,2.0,1.0,8.0
Facebook Penn94,distance_greedy,4,0.2,11,4.541,2.0,1.0,8.0
Facebook Penn94,distance_greedy,10,0.2,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.2,1,2549.732,2549.0,2521.0,2578.0
Facebook Penn94,distance_greedy,10,0.2,2,21059.399,21054.0,20933.0,21192.0
Facebook Penn94,distance_greedy,10,0.2,3,13539.272,13542.0,13416.0,13658.25
Facebook Penn94,distance_greedy,10,0.2,4,1475.351,1474.0,1438.75,1511.0
Facebook Penn94,distance_greedy,10,0.2,5,102.091,102.0,95.0,109.0
Facebook Penn94,distance_greedy,10,0.2,6,8.514,8.0,6.0,10.0
Facebook Penn94,distance_greedy,10,0.2,7,4.493,3.0,1.0,7.0
