network,method,k,p,time_step,mean_active,median_active,q1_active,q3_active
Facebook Penn94,highest_degree,2,0.2,0,2.0,2.0,2.0,2.0
Facebook Penn94,highest_degree,2,0.2,1,1580.589,1580.0,1558.0,1604.0
Facebook Penn94,highest_degree,2,0.2,2,18847.755,18836.5,18648.0,19080.5
Facebook Penn94,highest_degree,2,0.2,3,36374.098,36377.5,36315.75,36437.25
Facebook Penn94,highest_degree,2,0.2,4,38579.787,38580.0,38554.0,38606.0
Facebook Penn94,highest_degree,2,0.2,5,38731.058,38730.5,38705.0,38758.0
Facebook Penn94,highest_degree,2,0.2,6,38743.3,38743.0,38717.0,38771.0
Facebook Penn94,highest_degree,2,0.2,7,38744.523,38743.5,38718.0,38772.0
Facebook Penn94,highest_degree,2,0.2,8,38744.666,38744.0,38718.0,38772.0
Facebook Penn94,highest_degree,2,0.2,9,38744.685,38744.0,38718.0,38772.0
Facebook Penn94,highest_degree,2,0.2,10,38744.688,38744.0,38718.0,38772.0
Facebook Penn94,highest_degree,4,0.2,0,4.0,4.0,4.0,4.0
Facebook Penn94,highest_degree,4,0.2,1,2566.418,2564.5,2538.0,2595.0
Facebook Penn94,highest_degree,4,0.2,2,23573.839,23576.0,23434.0,23705.0
Facebook Penn94,highest_degree,4,0.2,3,37208.716,37209.0,37171.75,37246.0
Facebook Penn94,highest_degree,4,0.2,4,38639.463,38639.0,38614.0,38666.0
Facebook Penn94,highest_degree,4,0.2,5,38736.915,38736.0,38711.0,38762.0
Facebook Penn94,highest_degree,4,0.2,6,38745.159,38745.0,38720.0,38770.0
Facebook Penn94,highest_degree,4,0.2,7,38746.046,38746.0,38721.0,38771.0
Facebook Penn94,highest_degree,4,0.2,8,38746.144,38746.0,38721.0,38771.0
Facebook Penn94,highest_degree,4,0.2,9,38746.149,38746.0,38721.0,38771.0
Facebook Penn94,highest_degree,4,0.2,10,38746.151,38746.0,38721.0,38771.0
Facebook Penn94,highest_degree,4,0.2,11,38746.152,38746.0,38721.0,38771.0
Facebook Penn94,highest_degree,10,0.2,0,10.0,10.0,10.0,10.0
Facebook Penn94,highest_degree,10,0.2,1,4392.015,4392.0,4360.0,4425.0
Facebook Penn94,highest_degree,10,0.2,2,28206.481,28202.5,28124.75,28295.0
Facebook Penn94,highest_degree,10,0.2,3,37825.501,37826.0,37797.0,37856.0
Facebook Penn94,highest_degree,10,0.2,4,38681.216,38680.0,38655.0,38707.0
Facebook Penn94,highest_degree,10,0.2,5,38740.002,38739.0,38715.0,38766.25
Facebook Penn94,highest_degree,10,0.2,6,38745.145,38744.0,38720.0,38771.0
Facebook Penn94,highest_degree,10,0.2,7,38745.684,38745.0,38720.0,38771.25
Facebook Penn94,highest_degree,10,0.2,8,38745.756,38745.0,38720.0,38771.25
Facebook Penn94,highest_degree,10,0.2,9,38745.765,38745.0,38720.0,38771.25
Facebook Penn94,highest_degree,10,0.2,10,38745.768,38745.0,38720.0,38771.25
Facebook Penn94,distance_greedy,2,0.2,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.2,1,1341.442,1341.0,1320.0,1363.0
Facebook Penn94,distance_greedy,2,0.2,2,17424.65,17425.0,17175.75,17657.0
Facebook Penn94,distance_greedy,2,0.2,3,36073.406,36076.0,36001.0,36139.25
Facebook Penn94,distance_greedy,2,0.2,4,38558.221,38558.0,38530.75,38586.0
Facebook Penn94,distance_greedy,2,0.2,5,38729.732,38730.5,38704.0,38755.0
Facebook Penn94,distance_greedy,2,0.2,6,38743.105,38743.0,38717.0,38770.0
Facebook Penn94,distance_greedy,2,0.2,7,38744.452,38745.0,38718.0,38771.0
Facebook Penn94,distance_greedy,2,0.2,8,38744.591,38745.5,38719.0,38771.0
Facebook Penn94,distance_greedy,2,0.2,9,38744.609,38745.5,38719.0,38771.0
Facebook Penn94,distance_greedy,2,0.2,10,38744.614,38746.0,38719.0,38771.0
Facebook Penn94,distance_greedy,2,0.2,11,38744.615,38746.0,38719.0,38771.0
Facebook Penn94,distance_greedy,4,0.2,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.2,1,1881.295,1881.0,1855.0,1906.0
Facebook Penn94,distance_greedy,4,0.2,2,20876.76,20887.0,20696.0,21061.5
Facebook Penn94,distance_greedy,4,0.2,3,36706.047,36708.0,36655.0,36762.25
Facebook Penn94,distance_greedy,4,0.2,4,38603.36,38602.0,38579.0,38630.0
Facebook Penn94,distance_greedy,4,0.2,5,38734.506,38734.0,38710.0,38759.0
Facebook Penn94,distance_greedy,4,0.2,6,38744.984,38743.0,38720.0,38770.0
Facebook Penn94,distance_greedy,4,0.2,7,38746.078,38745.0,38721.0,38771.0
Facebook Penn94,distance_greedy,4,0.2,8,38746.215,38745.0,38721.0,38771.0
Facebook Penn94,distance_greedy,4,0.2,9,38746.236,38745.0,38721.0,38771.0
Facebook Penn94,distance_greedy,4,0.2,10,38746.242,38745.0,38721.0,38771.0
Facebook Penn94,distance_greedy,4,0.2,11,38746.244,38745.0,38721.0,38771.0
Facebook Penn94,distance_greedy,10,0.2,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.2,1,2559.732,2559.0,2531.0,2588.0
Facebook Penn94,distance_greedy,10,0.2,2,23619.131,23612.5,23481.0,23766.25
Facebook Penn94,distance_greedy,10,0.2,3,37158.403,37156.0,37118.0,37202.0
Facebook Penn94,distance_greedy,10,0.2,4,38633.754,38633.0,38607.0,38660.0
Facebook Penn94,distance_greedy,10,0.2,5,38735.845,38737.0,38710.0,38762.0
Facebook Penn94,distance_greedy,10,0.2,6,38744.359,38745.0,38718.75,38770.0
Facebook Penn94,distance_greedy,10,0.2,7,38745.233,38746.5,38719.0,38771.0
Facebook Penn94,distance_greedy,10,0.2,8,38745.353,38747.0,38719.0,38771.0
Facebook Penn94,distance_greedy,10,0.2,9,38745.382,38747.0,38719.0,38771.0
Facebook Penn94,distance_greedy,10,0.2,10,38745.384,38747.0,38719.0,38771.0
Facebook Penn94,distance_greedy,10,0.2,11,38745.385,38747.0,38719.0,38771.0
