network,method,k,time_step,total_active,newly_active,simulation_id
Facebook Penn94,highest_degree,2,0,2,2,0
Facebook Penn94,highest_degree,2,1,1647,1645,0
Facebook Penn94,highest_degree,2,2,19239,17592,0
Facebook Penn94,highest_degree,2,3,36442,17203,0
Facebook Penn94,highest_degree,2,4,38536,2094,0
Facebook Penn94,highest_degree,2,5,38679,143,0
Facebook Penn94,highest_degree,2,6,38688,9,0
Facebook Penn94,highest_degree,4,0,4,4,0
Facebook Penn94,highest_degree,4,1,2683,2679,0
Facebook Penn94,highest_degree,4,2,23984,21301,0
Facebook Penn94,highest_degree,4,3,37299,13315,0
Facebook Penn94,highest_degree,4,4,38637,1338,0
Facebook Penn94,highest_degree,4,5,38733,96,0
Facebook Penn94,highest_degree,4,6,38739,6,0
Facebook Penn94,highest_degree,10,0,10,10,0
Facebook Penn94,highest_degree,10,1,4454,4444,0
Facebook Penn94,highest_degree,10,2,28378,23924,0
Facebook Penn94,highest_degree,10,3,37837,9459,0
Facebook Penn94,highest_degree,10,4,38693,856,0
Facebook Penn94,highest_degree,10,5,38743,50,0
Facebook Penn94,highest_degree,10,6,38747,4,0
Facebook Penn94,distance_greedy,2,0,2,2,0
Facebook Penn94,distance_greedy,2,1,1405,1403,0
Facebook Penn94,distance_greedy,2,2,18022,16617,0
Facebook Penn94,distance_greedy,2,3,36237,18215,0
Facebook Penn94,distance_greedy,2,4,38585,2348,0
Facebook Penn94,distance_greedy,2,5,38730,145,0
Facebook Penn94,distance_greedy,2,6,38735,5,0
Facebook Penn94,distance_greedy,2,7,38736,1,0
Facebook Penn94,distance_greedy,4,0,4,4,0
Facebook Penn94,distance_greedy,4,1,1959,1955,0
Facebook Penn94,distance_greedy,4,2,21217,19258,0
Facebook Penn94,distance_greedy,4,3,36870,15653,0
Facebook Penn94,distance_greedy,4,4,38678,1808,0
Facebook Penn94,distance_greedy,4,5,38794,116,0
Facebook Penn94,distance_greedy,4,6,38802,8,0
Facebook Penn94,distance_greedy,10,0,10,10,0
Facebook Penn94,distance_greedy,10,1,2677,2667,0
Facebook Penn94,distance_greedy,10,2,23944,21267,0
Facebook Penn94,distance_greedy,10,3,37190,13246,0
Facebook Penn94,distance_greedy,10,4,38611,1421,0
Facebook Penn94,distance_greedy,10,5,38700,89,0
Facebook Penn94,distance_greedy,10,6,38716,16,0
Facebook Penn94,distance_greedy,10,7,38719,3,0
Facebook Penn94,distance_greedy,10,8,38720,1,0
